scenario_cls,AdoptingPolicyCls,BasePolicyCls,PolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.31963905611346,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,100.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.31966570906242,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.6803609438865456,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.6803342909375816,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,99.30647244025943,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,99.4384223586261,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,99.31966570906242,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6935275597405801,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.5615776413739062,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6803342909375816,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,99.37957157784744,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,99.30469413070445,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,99.31966570906242,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.6204284221525601,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.6953058692955539,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.6803342909375816,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.5140685006662,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.38386027204136,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.4489422825803,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.4859314993338036,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.6161397279586456,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.5510577174196918,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.8,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.8,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.8,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.8,0,99.492186862172,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.8,0,99.28278020473365,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.8,0,99.45024810655524,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.8,0,0.5078131378279966,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.8,0,0.7172197952663494,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.8,0,0.5497518934447636,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.99,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.99,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.99,0,0.0,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.99,0,99.48012878028185,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.99,0,96.21212121212122,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.99,0,99.44633063463046,0.0,
ValidPrefix,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.99,0,0.5198712197181612,0.0,
ValidPrefix,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.99,0,3.787878787878788,0.0,
ValidPrefix,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.99,0,0.5536693653695481,0.0,
