scenario_cls,AdoptingPolicyCls,BasePolicyCls,PolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.33138320100292,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,100.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.33140939422034,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.6686167989970748,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.6685906057796523,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,21.69870455495194,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,66.66666666666667,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,21.700466185246608,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,77.75151483493522,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,33.333333333333336,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,77.74977474242286,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,1,0.5497806101128291,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,1,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,1,0.5497590723305344,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,99.30792333473586,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,99.41222570532915,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,99.31835098395122,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6920766652641354,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.5877742946708464,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6816490160487862,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,1,3.464736009750011,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,1,3.108672936259143,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,1,3.4291385366745453,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,1,95.84608911393875,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,1,96.30355276907001,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,1,95.8918241293305,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.1,1,0.6891748763112459,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,0.1,1,0.5877742946708464,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.1,1,0.6790373339949595,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,99.30795847750865,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,99.3599372999804,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,99.31835098395122,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.6920415224913494,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.6400627000195938,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.6816490160487862,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,1,32.09668995234053,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,1,32.4080726275227,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,1,32.1589469697959,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,1,67.35000326434681,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,1,67.1086147214421,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,1,67.30174068608888,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.2,1,0.5533067833126591,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,0.2,1,0.48331265103520343,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.2,1,0.5393123441152274,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.41257864919197,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.43829031246734,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.42542994815811,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.5874213508080307,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.5617096875326575,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.5745700518418888,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,1,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,1,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,1,0.0,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,1,99.41257864919197,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGPSecFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,1,99.43829031246734,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,1,99.42542994815811,0.0,
AccidentalRouteLeak,BGPSecFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.5,1,0.5874213508080307,0.0,
