scenario_cls,AdoptingPolicyCls,BasePolicyCls,PolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.45413706644379,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,100.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.4541584507502,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.5458629335562056,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.5458415492497943,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,99.45446367685678,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,99.3730407523511,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,99.44632340458872,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.5455363231432178,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6269592476489029,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.5536765954112747,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,99.44342886988314,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,99.47096858467768,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,99.44893508664255,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.5565711301168637,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.5290314153223172,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.5510649133574479,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.53495663078692,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.49612301908466,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.5,0,99.51553297901513,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.4650433692130839,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.503876980915333,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.5,0,0.4844670209848653,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.8,0,26.81493092975409,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.8,0,38.156093108169785,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.8,0,29.086303033468706,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.8,0,72.64295744750335,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.8,0,61.17232835626263,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.8,0,70.34565611982397,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.8,0,0.5421116227425623,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.8,0,0.6715785355675816,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.8,0,0.5680408467073218,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.99,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.99,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.99,0,0.0,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.99,0,99.28747674403262,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.99,0,95.95959595959596,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.99,0,99.25305893260554,0.0,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.99,0,0.7125232559673823,0.0,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.99,0,4.040404040404041,0.0,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.99,0,0.7469410673944554,0.0,
