scenario_cls,AdoptingPolicyCls,BasePolicyCls,PolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label
NonRoutedSuperprefixHijack,ASPAFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.23344128708735,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,ASPAFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,100.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.23347131720185,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,ASPAFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.766558712912662,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,ASPAFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.7665286827981561,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,99.33258854083543,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,ASPAFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,98.95506792058517,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,99.29484584546677,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,0.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,ASPAFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,0.0,0.0,
NonRoutedSuperprefixHijack,ASPAFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,0.0,0.0,
