scenario_cls,AdoptingPolicyCls,BasePolicyCls,PolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.41278381390165,0.050147287019626445,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,95.23809523809524,11.44131564566347,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.41262026951316,0.05008857604311559,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.001243706843372535,0.004091795514695641,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,3.174603174603175,10.444444444444446,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.001368023932956878,0.004500798739428128,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.5859724792549699,0.05062164618425201,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,1.5873015873015874,5.222222222222223,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.5860117065538918,0.050593404506174756,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,85.11499720530088,25.563161182799465,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,84.88455988455989,25.499184217097667,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.1,0,85.09195919060242,25.556475135453418,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,14.276663467789797,25.574603526286857,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,14.513360203015376,25.529437769560616,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.1,0,14.300327268634506,25.569816558679967,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6083393269093254,0.0511556973797171,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.60207991242474,0.09339407249050319,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.1,0,0.6077135407630714,0.04943315146164724,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,84.56018367391351,25.420896279146913,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,83.2544917908382,25.247879035180123,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.2,0,84.29912713854787,25.368028644442322,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,14.84057551988609,25.424543825510778,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,16.178222317599236,25.247799377687077,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,0.2,0,15.108021035233456,25.37103731034728,
SubprefixHijack,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.5992408062003935,0.045004170696702296,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.5672858915625554,0.06930066734985837,
SubprefixHijack,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.5928518262186762,0.047599366135368804,
SubprefixHijack,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,0.5,0,42.84855858949285,31.611875131492507,
